,Unnamed: 0.1,Unnamed: 0,y,number_of_beds,markaze_behdasht,number_of_labs,number_of_active_beds,number_of_employees,number_of_doctors,number_of_pir_doctors,number_of_stuff,number_of_persons_in_hotels,number_of_travels_bus_inside,number_of_travels_bus_outside,number_of_travels_minibus_inside,number_of_travels_minibus_outside,number_of_travels_car_inside,number_of_travels_car_outside,number_of_person_bus_inside,number_of_person_bus_outside,number_of_person_minibus_inside,number_of_person_minibus_outside,number_of_person_car_inside,number_of_person_car_outside,covid,month,season
33,33,1396_10,2691.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5339.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,10,4
34,34,1396_11,2725.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5342.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,11,4
35,35,1396_12,2463.0,2307.0,82.0,338.0,1938.0,4662.0,607.0,2544.0,1511.0,5342.0,12793.0,55910.0,10508.0,1123.0,3310.0,2532.0,228844.0,856016.0,23942.0,14291.0,3865.0,3813.0,0.0,12,4
36,36,1397_01,2118.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,5371.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,1,1
37,37,1397_02,3040.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,5512.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,2,1
38,38,1397_03,2489.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,5608.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,3,1
39,39,1397_04,3488.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,5703.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,4,2
40,40,1397_05,3270.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,5793.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,5,2
41,41,1397_06,3067.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,5850.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,6,2
42,42,1397_07,3161.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,6010.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,7,3
43,43,1397_08,2781.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,6365.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,8,3
44,44,1397_09,2923.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,6514.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,9,3
45,45,1397_10,2976.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,6713.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,10,4
