,City,random,Missing Rate,RMSE,MAE,R2
72,Anaheim,30,70,0.017678210329347317,0.008578687794535016,0.9498336302014282
73,Anaheim,30,80,0.0515257749929057,0.019296827053242847,0.44081936400844546
74,Anaheim,30,90,0.08243792840480134,0.03232068674434526,0.8094334474156164
75,Anaheim,30,95,0.07287753827710185,0.03664468564836662,0.8277131146400858
76,Anaheim,30,97,0.059716120319770846,0.03432290987584568,-0.007108590038557683
77,Anaheim,35,10,0.018592418727258878,0.008932180092783083,0.8785665352075712
78,Anaheim,35,20,0.018049547420087634,0.008831302479199082,0.7962735891589231
79,Anaheim,35,30,0.08147450017595295,0.02010370297043995,0.8561154254147781
80,Anaheim,35,40,0.08146893827375244,0.02115910780592478,0.8575147503402094
81,Anaheim,35,50,0.03978643666022507,0.01577724639070972,0.908514791134574
82,Anaheim,35,60,0.040407677309737426,0.016316848304115623,0.9021681632583536
83,Anaheim,35,70,0.09276518025232698,0.029949030790057295,0.7995368470579856
84,Anaheim,35,80,0.05032714772155724,0.018551962902157316,0.8777246897248704
85,Anaheim,35,90,0.09935006753342282,0.03563839972349431,0.3186701238378101
86,Anaheim,35,95,0.08294773974963794,0.04159992183301578,0.542842992650975
87,Anaheim,35,97,0.7451175826782835,0.26613624224495663,0.25285095040552386
88,Anaheim,40,10,0.024435121976456683,0.010199270336023818,0.9222431801285111
89,Anaheim,40,20,0.021744052324169504,0.007961854766516232,0.9418527048418684
90,Anaheim,40,30,0.01559815385815546,0.0069346023451670345,0.9189194014583599
91,Anaheim,40,40,0.0442907673943486,0.018638242859706614,0.9229637763904077
92,Anaheim,40,50,0.09540206169751231,0.02604551779535765,0.80990117682231
93,Anaheim,40,60,0.029639073705263523,0.013436738046828505,0.9026784040458201
94,Anaheim,40,70,0.053674946852787474,0.021005493342569088,0.8919064500970256
95,Anaheim,40,80,0.02404585323735254,0.012683480611078697,0.9368704910902994
96,Anaheim,40,90,0.05421215640971301,0.019122689925998814,0.23697722588127523
97,Anaheim,40,95,0.16631132933878148,0.07662200049534733,-2.085859060319414
98,Anaheim,40,97,0.12443195384503634,0.059636240984586544,-0.03257845312520846
99,Anaheim,50,10,0.006982961917603169,0.004010083188646284,0.9744857340156287
100,Anaheim,50,20,0.0204012098622672,0.009501850902252177,0.896606295767107
101,Anaheim,50,30,0.02464506761893477,0.008537476341411077,0.7710425491186547
102,Anaheim,50,40,0.035124282844357396,0.014587162774582938,0.8864835301793202
103,Anaheim,50,50,0.04425551952984912,0.01599800575176662,0.8641636599561839
104,Anaheim,50,60,0.03897736629026755,0.01624807045656322,0.7961449747124598
105,Anaheim,50,70,0.05362554669424485,0.01703418991141372,0.7904429170855773
106,Anaheim,50,80,0.031885414044103125,0.01571817168476854,0.8698023978639794
107,Anaheim,50,90,0.059081407422225916,0.017526905337140356,0.6721755890751941
108,Anaheim,50,95,0.08664013245093849,0.04089399419186373,0.5467252210203762
109,Anaheim,50,97,0.13179171166069803,0.06294935669945785,-0.20846346653671088
110,SiouxFalls,0,10,0.07151564639873288,0.044335016835016824,0.8739645638357312
111,SiouxFalls,0,20,0.10170724392627202,0.06462530864197535,0.7523772616672821
112,SiouxFalls,0,30,0.0873660409019469,0.057858024691358034,0.8182927749204016
113,SiouxFalls,0,40,0.05960640578923638,0.043064814814814806,0.6143560301507537
114,SiouxFalls,0,50,0.10642110536292444,0.0692888888888889,0.7350367694159179
115,SiouxFalls,0,60,0.06692538340902084,0.049842592592592556,0.5824557464833762
116,SiouxFalls,0,70,0.15236309124612182,0.09232407407407406,0.5623782800530115
117,SiouxFalls,0,80,0.14219458165175367,0.0847474747474748,0.7203192488631016
118,SiouxFalls,0,90,0.22038821805683778,0.13790123456790127,0.3141073750329434
119,SiouxFalls,0,95,0.2511123294631756,0.14959183673469403,0.27152771986099955
120,SiouxFalls,0,97,0.4883526551166439,0.28028213166144195,0.174249421571963
121,SiouxFalls,5,10,0.0719243544034382,0.049663299663299625,0.7185194829979188
122,SiouxFalls,5,20,0.05767213388073872,0.04366217732884395,0.7180639019819823
123,SiouxFalls,5,30,0.05483430656761021,0.039130190796857416,0.864593784301213
124,SiouxFalls,5,40,0.057692581505946895,0.03576599326599329,0.8173716934919524
125,SiouxFalls,5,50,0.06934596782618024,0.049739057239057256,0.7933954246575339
126,SiouxFalls,5,60,0.05208054629825047,0.04073232323232321,0.8320269460289602
127,SiouxFalls,5,70,0.11729978741906688,0.07607744107744104,0.21195434623813192
128,SiouxFalls,5,80,0.11271540103937064,0.0757659932659932,0.21685931603773723
129,SiouxFalls,5,90,0.1457729312140887,0.08718855218855219,0.2341104346493702
130,SiouxFalls,5,95,0.09130063419041202,0.06181250000000003,0.41737143812336286
131,SiouxFalls,5,97,0.09945996422057785,0.07381034482758622,0.4120557420494697
132,SiouxFalls,10,10,0.07395304094542016,0.05170875420875421,0.846381520917088
133,SiouxFalls,10,20,0.09155956260677751,0.056346801346801326,0.847437675366206
134,SiouxFalls,10,30,0.11273493986633729,0.07146296296296298,0.8255100051791513
135,SiouxFalls,10,40,0.09833200622927447,0.06740277777777778,0.7521942438258041
136,SiouxFalls,10,50,0.060907261015780784,0.04411111111111112,0.9095529347826086
137,SiouxFalls,10,60,0.06788051184904906,0.04874074074074072,0.8233003748027354
138,SiouxFalls,10,70,0.07818490666125802,0.057999999999999996,0.7311033790918691
139,SiouxFalls,10,80,0.15016719848222526,0.0740092592592593,0.46178558011049653
140,SiouxFalls,10,90,0.09985807057648999,0.0753148148148148,0.6106155272849014
141,SiouxFalls,10,95,0.11253791027915883,0.08444642857142858,0.36422676484712657
142,SiouxFalls,10,97,0.13956306509220492,0.10006896551724136,0.057419485003237125
143,SiouxFalls,15,10,0.1034911983942945,0.07785353535353534,0.6535230012835798
144,SiouxFalls,15,20,0.07662977712728454,0.056666666666666685,0.8895901361541124
145,SiouxFalls,15,30,0.08268502408438873,0.06275252525252527,0.7806126301668862
146,SiouxFalls,15,40,0.06919485911324094,0.0472558922558923,0.8360646724890827
147,SiouxFalls,15,50,0.06387138045119066,0.04960185185185186,0.517110726608484
148,SiouxFalls,15,60,0.06053420437597769,0.042953466286799635,0.8547437258687258
149,SiouxFalls,15,70,0.1012983025177126,0.06561253561253556,0.6185250150875078
150,SiouxFalls,15,80,0.10558565611168928,0.08090218423551755,0.37963617886178835
151,SiouxFalls,15,90,0.2534117949190137,0.13519943019943023,0.4790844828153805
152,SiouxFalls,15,95,0.7951282080812883,0.43516483516483545,0.07519628169884751
153,SiouxFalls,15,97,0.5409747714319514,0.32387267904509265,0.16697552271088623
154,SiouxFalls,20,10,0.05237462213812286,0.042985409652076326,0.9015997559983732
155,SiouxFalls,20,20,0.05379905362967423,0.04226310726310728,0.33253156662664995
156,SiouxFalls,20,30,0.09352629927597667,0.062121212121212084,0.7876047071777582
157,SiouxFalls,20,40,0.09565214236250487,0.06135521885521889,0.8182670180426153
158,SiouxFalls,20,50,0.10436293722416243,0.0660185185185185,0.6382078163246098
159,SiouxFalls,20,60,0.08619534373682848,0.05808080808080808,0.07549162405219445
160,SiouxFalls,20,70,0.067358091744328,0.05489078822412153,0.8206619421075148
161,SiouxFalls,20,80,0.07987329252779062,0.06517568850902174,0.08605732558139922
162,SiouxFalls,20,90,0.12021832640189824,0.08301994301994303,0.656661048978018
163,SiouxFalls,20,95,0.33675114884553137,0.19566326530612238,0.42201176973538734
164,SiouxFalls,20,97,0.3704901833989608,0.2262725779967158,0.16538412682798953
165,SiouxFalls,25,10,0.09577863746811593,0.05841891133557802,0.6944148632222433
166,SiouxFalls,25,20,0.04261036525666891,0.03367985409652075,0.8998241917513683
167,SiouxFalls,25,30,0.1268239161370989,0.08635802469135802,0.6921884207029344
168,SiouxFalls,25,40,0.09144958225315236,0.05837542087542083,0.44435049901139345
169,SiouxFalls,25,50,0.08200049401386866,0.05839814814814811,0.6471264240079191
170,SiouxFalls,25,60,0.04929723716997326,0.04022222222222224,0.7608331252109347
171,SiouxFalls,25,70,0.07280947676921876,0.05484259259259258,0.8120792943107221
172,SiouxFalls,25,80,0.1331892072963108,0.08095916429249773,0.6666174999999996
173,SiouxFalls,25,90,0.27466900145702555,0.1816122004357299,0.2900473735929957
174,SiouxFalls,25,95,0.31172152402042475,0.23793956043956044,0.301314527595376
175,SiouxFalls,25,97,0.5242461771674047,0.2457559681697613,0.1964227669203864
176,SiouxFalls,30,10,0.06931935473975916,0.048198653198653185,0.5580192909280508
177,SiouxFalls,30,20,0.05841684920401593,0.04626543209876543,0.6473677478400935
178,SiouxFalls,30,30,0.08975722280126205,0.05904040404040402,0.7950412070084363
179,SiouxFalls,30,40,0.07628044309905273,0.05936026936026936,0.877217334489564
180,SiouxFalls,30,50,0.09788014626758555,0.06832491582491586,0.7273138849675311
181,SiouxFalls,30,60,0.0699751803478039,0.05478114478114477,0.8630300392436676
182,SiouxFalls,30,70,0.17159436525161145,0.08842592592592588,0.5190220312500002
183,SiouxFalls,30,80,0.1562006588761179,0.08926851851851854,0.5130957346701339
184,SiouxFalls,30,90,0.08062506101059992,0.05526851851851853,0.6032823827961493
185,SiouxFalls,30,95,0.13122161257636966,0.08851785714285716,0.5926438292094146
186,SiouxFalls,30,97,0.3134074945862579,0.22623563218390805,0.39970980520791266
187,SiouxFalls,35,10,0.04734466651270514,0.03609427609427606,0.851990633479929
188,SiouxFalls,35,20,0.06958143971183842,0.04827441077441076,0.7846069127474469
189,SiouxFalls,35,30,0.08660559982135271,0.056557239057239084,0.8151076274146783
190,SiouxFalls,35,40,0.06854617851433809,0.0530723905723906,0.7147332573345948
191,SiouxFalls,35,50,0.054762073373226826,0.042045454545454525,0.6650476495726496
192,SiouxFalls,35,60,0.07340342255377397,0.046212121212121204,0.7076576349377213
193,SiouxFalls,35,70,0.06261866604301328,0.04272727272727271,0.7809351120259681
194,SiouxFalls,35,80,0.10979715798434224,0.07069865319865312,-0.031047079141920397
195,SiouxFalls,35,90,0.14033018107122505,0.10774928774928773,-0.16083399521531172
196,SiouxFalls,35,95,0.5331524842187003,0.3155,0.2674763378182933
197,SiouxFalls,35,97,0.3149617929757238,0.21458620689655167,0.333003014070995
198,SiouxFalls,40,10,0.04765849095769385,0.03883221099887765,0.7939031469718403
199,SiouxFalls,40,20,0.062338883415917874,0.04671937630270964,0.6973471321643105
200,SiouxFalls,40,30,0.09768647392224698,0.06321492704826037,0.7688142362675088
201,SiouxFalls,40,40,0.10491226910659361,0.05954657687991021,0.6926744631820518
202,SiouxFalls,40,50,0.11682560831376762,0.06972222222222223,0.6371347807248888
203,SiouxFalls,40,60,0.07561868077945211,0.04479974346641016,0.04831062202059977
204,SiouxFalls,40,70,0.10588051087622245,0.057592592592592584,0.691359831460674
205,SiouxFalls,40,80,0.0539412381934174,0.04028619528619529,0.8187603848530323
